name,latency,throughput(cpi)
xvavgr_d,2.00,4.00
xvavgr_du,2.00,4.00
xvavgr_h,1.00,4.00
xvavgr_hu,1.00,4.00
xvavgr_w,1.00,4.00
xvavgr_wu,1.00,4.00
xvbitclr_b,2.00,2.00
xvbitclr_d,2.00,2.00
xvbitclr_h,2.00,2.00
xvbitclr_w,2.00,2.00
xvbitclri_b,0.50/2.00,2.00
xvbitclri_d,0.50/2.00,2.00
xvbitclri_h,0.50/2.00,2.00
xvbitclri_w,0.50/2.00,2.00
xvbitrev_b,2.00,2.00
xvbitrev_d,2.00,2.00
xvbitrev_h,2.00,2.00
xvbitrev_w,2.00,2.00
xvbitrevi_b,0.50/2.00,2.00
xvbitrevi_d,0.50/2.00,2.00
xvbitrevi_h,0.50/2.00,2.00
xvbitrevi_w,0.50/2.00,2.00
xvbitsel_v,1.00,2.00
xvbitseli_b,1.00,1.00
xvbitset_b,2.00,2.00
